Indent Level,Expenditure category,"Relative
importance
Sep.
2021",2018-10-01,2018/11/01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019/11/01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01
0,All items,100.000,252.885,252.038,251.233,251.712,252.776,254.202,255.548,256.092,256.143,256.571,256.558,256.759,257.346,257.208,256.974,257.971,258.678,258.115,256.389,256.394,257.797,259.101,259.918,260.280,260.388,260.229,260.474,261.582,263.014,264.877,267.054,269.195,271.696,273.003,273.567,274.310,276.589
1,Food,13.977,254.358,254.379,255.210,256.417,257.222,257.724,257.708,258.110,258.064,258.274,258.410,258.943,259.632,259.467,259.823,261.057,261.876,262.708,266.757,268.439,269.770,268.863,269.079,269.163,269.828,269.069,270.023,270.938,271.363,271.812,273.090,274.212,276.206,278.127,279.135,281.506,284.205
2,Food at home,7.716,239.882,239.352,239.989,241.381,242.057,242.555,241.878,242.145,241.407,241.359,241.153,241.543,242.340,241.726,241.750,243.110,244.054,245.163,251.717,253.827,255.042,252.563,252.352,251.369,251.937,250.407,251.253,252.107,252.716,253.231,254.760,255.516,257.412,259.022,259.825,262.695,265.478
3,Cereals and bakery products,0.979,272.260,273.240,274.321,275.050,275.996,277.275,276.640,277.795,276.891,277.490,276.619,277.308,276.470,276.166,275.036,275.916,276.641,277.646,285.160,284.937,286.092,285.204,284.472,284.416,284.740,282.782,283.735,282.911,284.095,284.746,285.377,286.649,286.761,289.533,288.990,292.069,294.625
4,Cereals and cereal products,0.296,224.065,224.320,225.635,225.520,226.821,230.342,228.745,228.305,230.024,230.425,228.385,226.997,226.009,224.887,224.896,226.530,226.169,228.033,232.267,235.715,236.930,234.667,232.293,232.810,232.244,230.994,232.794,232.504,231.699,232.402,231.213,233.894,234.892,236.236,236.194,236.183,239.371
5,Flour and prepared flour mixes,0.042,231.474,225.211,226.287,236.887,235.755,237.658,236.002,238.911,238.545,241.126,239.327,238.686,232.780,224.422,225.638,235.711,234.170,235.939,238.985,240.779,244.665,243.504,242.610,240.290,238.125,232.226,232.911,239.720,238.561,239.229,235.836,241.371,242.767,245.336,248.823,250.198,249.956
5,Breakfast cereal(4),0.136,220.252,219.212,221.966,219.572,221.578,224.248,224.059,222.799,223.984,224.036,220.688,220.068,220.408,218.774,221.618,219.421,217.695,221.578,224.844,228.013,230.490,226.335,221.886,226.417,226.858,225.593,227.887,226.376,223.913,225.778,225.246,228.209,229.794,229.959,229.855,229.122,236.615
5,"Rice, pasta, cornmeal",0.119,231.881,236.105,235.595,234.900,236.109,241.408,237.898,237.412,240.598,240.739,240.329,237.621,236.496,238.499,234.282,237.732,239.446,238.912,244.852,249.304,248.073,247.693,247.294,243.879,242.619,242.967,244.594,243.333,244.664,243.971,242.711,244.122,244.286,246.687,245.495,245.890,245.062
6,Rice(4)(5)(6),,159.761,164.101,162.883,162.950,161.631,163.179,165.381,162.269,164.456,164.408,162.429,161.998,162.585,161.442,158.079,159.609,159.819,159.431,165.218,166.804,166.399,167.349,167.389,166.567,165.524,167.444,167.403,166.652,166.248,165.565,165.840,165.131,164.153,165.367,165.886,166.677,166.752
5,Bakery products(4),0.682,300.074,301.503,302.426,303.681,304.393,304.245,304.224,306.374,303.823,304.540,304.417,306.410,305.674,305.890,304.051,304.479,305.850,306.338,315.786,313.372,314.487,314.422,314.673,314.275,315.130,312.756,313.199,312.060,314.428,315.045,316.761,317.187,316.770,320.386,319.545,324.458,326.628
6,Bread(4)(5),0.194,179.705,180.754,182.930,182.471,183.233,183.085,184.384,184.131,182.206,183.514,182.235,185.084,185.162,187.598,186.499,185.053,186.696,187.308,194.227,190.654,189.750,190.894,191.783,192.332,193.623,192.660,193.093,191.579,191.171,191.582,191.929,193.564,192.878,193.094,192.971,196.492,198.052
7,White bread(4)(6),,325.753,326.130,332.367,331.374,332.035,329.954,333.870,333.139,329.986,329.424,329.145,336.742,336.293,341.143,339.524,338.123,340.669,343.249,355.262,347.542,345.370,347.792,351.435,350.518,352.991,350.717,350.661,345.970,345.249,348.937,347.162,350.866,350.546,348.643,346.969,355.554,357.543
7,Bread other than white(4)(6),,348.435,353.227,355.306,355.094,356.892,359.559,359.067,359.966,355.253,360.225,355.828,358.000,359.226,362.753,361.061,357.306,360.304,361.991,374.510,369.676,368.162,369.721,369.878,373.051,375.864,373.592,376.157,374.390,372.687,371.433,374.117,377.717,374.352,378.241,378.950,383.377,387.707
6,"Fresh biscuits, rolls, muffins(5)",0.100,179.261,182.516,181.384,182.847,181.409,182.198,179.427,181.098,178.226,177.300,178.077,179.626,180.528,180.255,180.359,179.172,179.860,179.659,186.219,184.492,184.620,183.603,186.284,187.342,186.338,185.199,185.711,186.468,189.257,187.584,186.982,187.304,187.762,188.868,186.280,194.852,195.203
6,"Cakes, cupcakes, and cookies(4)",0.174,287.624,291.586,292.612,289.577,291.714,289.955,290.258,292.291,291.086,292.662,292.710,292.693,289.839,294.040,287.726,292.549,288.073,292.379,296.846,294.435,298.935,296.970,295.675,294.172,297.045,295.483,296.454,297.056,296.600,302.167,303.122,299.796,300.883,304.215,304.406,305.507,305.051
7,Cookies(4)(6),,269.875,272.192,272.041,270.557,273.511,268.664,269.301,272.922,270.304,272.759,273.530,274.655,273.999,273.424,268.471,271.855,268.435,272.291,286.192,277.178,279.055,278.336,279.458,277.278,282.990,278.205,280.096,277.490,277.566,284.635,283.775,279.246,277.514,282.886,283.200,283.991,282.346
7,Fresh cakes and cupcakes(4)(6),,310.044,315.489,318.649,313.592,314.562,317.889,317.785,317.815,318.944,319.192,319.745,318.247,310.384,323.576,312.827,316.440,313.595,316.188,308.843,314.521,325.515,320.660,313.592,311.898,309.678,310.119,310.389,316.489,314.740,316.681,320.673,319.210,325.601,327.218,325.354,327.677,329.989
