Expenditure category,"Relative
importance
Sep.
2019",2018-10-01,2018/11/01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01
All items,100.000,252.885,252.038,251.233,251.712,252.776,254.202,255.548,256.092,256.143,256.571,256.558,256.759,257.346
Food,13.245,254.358,254.379,255.210,256.417,257.222,257.724,257.708,258.110,258.064,258.274,258.410,258.943,259.632
Food at home,7.176,239.882,239.352,239.989,241.381,242.057,242.555,241.878,242.145,241.407,241.359,241.153,241.543,242.340
Cereals and bakery products,0.951,272.260,273.240,274.321,275.050,275.996,277.275,276.640,277.795,276.891,277.490,276.619,277.308,276.470
Cereals and cereal products,0.303,224.065,224.320,225.635,225.520,226.821,230.342,228.745,228.305,230.024,230.425,228.385,226.997,226.009
Flour and prepared flour mixes,0.040,231.474,225.211,226.287,236.887,235.755,237.658,236.002,238.911,238.545,241.126,239.327,238.686,232.780
Breakfast cereal(5),0.146,220.252,219.212,221.966,219.572,221.578,224.248,224.059,222.799,223.984,224.036,220.688,220.068,220.408
"Rice, pasta, cornmeal(5)",0.117,231.881,236.105,235.595,234.900,236.109,241.408,237.898,237.412,240.598,240.739,240.329,237.621,236.496
Rice(5)(6)(7),,159.761,164.101,162.883,162.950,161.631,163.179,165.381,162.269,164.456,164.408,162.429,161.998,162.585
Bakery products(5),0.648,300.074,301.503,302.426,303.681,304.393,304.245,304.224,306.374,303.823,304.540,304.417,306.410,305.674
Bread(5)(6),0.192,179.705,180.754,182.930,182.471,183.233,183.085,184.384,184.131,182.206,183.514,182.235,185.084,185.162
White bread(5)(7),,325.753,326.130,332.367,331.374,332.035,329.954,333.870,333.139,329.986,329.424,329.145,336.742,336.293
Bread other than white(5)(7),,348.435,353.227,355.306,355.094,356.892,359.559,359.067,359.966,355.253,360.225,355.828,358.000,359.226
"Fresh biscuits, rolls, muffins(6)",0.090,179.261,182.516,181.384,182.847,181.409,182.198,179.427,181.098,178.226,177.300,178.077,179.626,180.528
"Cakes, cupcakes, and cookies",0.162,287.624,291.586,292.612,289.577,291.714,289.955,290.258,292.291,291.086,292.662,292.710,292.693,289.839
Cookies(7),,269.875,272.192,272.041,270.557,273.511,268.664,269.301,272.922,270.304,272.759,273.530,274.655,273.999
Fresh cakes and cupcakes(5)(7),,310.044,315.489,318.649,313.592,314.562,317.889,317.785,317.815,318.944,319.192,319.745,318.247,310.384
