Indent Level,Expenditure category,"Relative
importance
Sep.
2021",2020-10-01,2020/11/01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01
0,All items,100.000,260.388,260.229,260.474,261.582,263.014,264.877,267.054,269.195,271.696,273.003,273.567,274.310,276.589
1,Food,13.977,269.828,269.069,270.023,270.938,271.363,271.812,273.090,274.212,276.206,278.127,279.135,281.506,284.205
2,Food at home,7.716,251.937,250.407,251.253,252.107,252.716,253.231,254.760,255.516,257.412,259.022,259.825,262.695,265.478
3,Cereals and bakery products,0.979,284.740,282.782,283.735,282.911,284.095,284.746,285.377,286.649,286.761,289.533,288.990,292.069,294.625
4,Cereals and cereal products,0.296,232.244,230.994,232.794,232.504,231.699,232.402,231.213,233.894,234.892,236.236,236.194,236.183,239.371
5,Flour and prepared flour mixes,0.042,238.125,232.226,232.911,239.720,238.561,239.229,235.836,241.371,242.767,245.336,248.823,250.198,249.956
5,Breakfast cereal(4),0.136,226.858,225.593,227.887,226.376,223.913,225.778,225.246,228.209,229.794,229.959,229.855,229.122,236.615
5,"Rice, pasta, cornmeal",0.119,242.619,242.967,244.594,243.333,244.664,243.971,242.711,244.122,244.286,246.687,245.495,245.890,245.062
6,Rice(4)(5)(6),,165.524,167.444,167.403,166.652,166.248,165.565,165.840,165.131,164.153,165.367,165.886,166.677,166.752
5,Bakery products(4),0.682,315.130,312.756,313.199,312.060,314.428,315.045,316.761,317.187,316.770,320.386,319.545,324.458,326.628
6,Bread(4)(5),0.194,193.623,192.660,193.093,191.579,191.171,191.582,191.929,193.564,192.878,193.094,192.971,196.492,198.052
7,White bread(4)(6),,352.991,350.717,350.661,345.970,345.249,348.937,347.162,350.866,350.546,348.643,346.969,355.554,357.543
7,Bread other than white(4)(6),,375.864,373.592,376.157,374.390,372.687,371.433,374.117,377.717,374.352,378.241,378.950,383.377,387.707
6,"Fresh biscuits, rolls, muffins(5)",0.100,186.338,185.199,185.711,186.468,189.257,187.584,186.982,187.304,187.762,188.868,186.280,194.852,195.203
6,"Cakes, cupcakes, and cookies(4)",0.174,297.045,295.483,296.454,297.056,296.600,302.167,303.122,299.796,300.883,304.215,304.406,305.507,305.051
7,Cookies(4)(6),,282.990,278.205,280.096,277.490,277.566,284.635,283.775,279.246,277.514,282.886,283.200,283.991,282.346
7,Fresh cakes and cupcakes(4)(6),,309.678,310.119,310.389,316.489,314.740,316.681,320.673,319.210,325.601,327.218,325.354,327.677,329.989
6,Other bakery products,0.214,277.445,273.998,273.577,271.376,277.028,275.116,279.194,280.559,279.138,285.755,285.187,287.626,291.804
7,"Fresh sweetrolls, coffeecakes, doughnuts(4)(6)",,324.387,327.615,327.884,323.390,324.689,321.308,328.259,326.641,320.510,329.336,330.131,329.037,329.164
7,"Crackers, bread, and cracker products(6)",,314.782,312.475,307.241,311.170,317.346,314.652,323.142,327.639,323.949,335.460,333.913,340.564,338.328
7,"Frozen and refrigerated bakery products, pies, tarts, turnovers(4)(6)",,275.921,266.578,270.016,265.393,270.441,269.663,268.194,269.573,271.264,275.650,275.179,276.877,287.105
3,"Meats, poultry, fish, and eggs",1.827,265.796,265.307,264.475,265.922,266.606,268.457,271.459,275.776,282.993,286.994,288.367,293.217,297.377
4,"Meats, poultry, and fish",1.725,270.384,269.635,268.621,270.152,270.278,271.932,275.147,280.239,288.082,292.290,293.500,298.154,302.558
5,Meats,1.105,274.473,272.939,272.013,273.843,275.065,276.764,280.945,285.991,296.597,300.549,301.283,308.306,314.292
6,Beef and veal,0.530,332.092,331.779,330.521,333.526,334.797,338.610,343.185,355.918,374.863,376.883,379.108,391.645,398.898
7,Uncooked ground beef(4),0.183,292.378,293.417,290.523,289.968,290.260,295.827,296.906,298.089,308.319,310.588,317.667,323.036,331.442
7,Uncooked beef roasts(4)(5),0.087,256.383,257.939,256.824,258.766,264.311,268.702,268.550,285.682,299.826,302.083,301.017,319.206,320.251
7,Uncooked beef steaks(5),0.211,221.458,219.335,219.186,223.768,223.867,225.313,232.175,244.853,261.720,262.207,261.578,269.960,275.127
7,Uncooked other beef and veal(4)(5),0.050,270.383,271.841,274.150,275.955,275.772,273.758,275.482,288.623,307.146,310.119,308.724,324.683,329.502
6,Pork,0.349,229.743,225.981,224.361,226.453,228.134,228.590,233.987,236.751,246.128,251.620,253.417,256.442,262.199
7,"Bacon, breakfast sausage, and related products(5)",0.145,171.027,167.902,169.292,169.545,168.012,170.396,174.707,177.278,181.695,185.338,189.373,192.989,197.371
8,Bacon and related products(6),,318.629,318.588,321.428,320.036,316.901,320.198,330.843,336.430,346.051,355.913,365.329,375.125,382.958
8,Breakfast sausage and related products(5)(6),,156.162,149.323,150.527,152.779,151.023,153.945,155.146,156.989,160.628,161.805,163.936,165.414,169.191
7,Ham,0.069,220.397,209.243,202.600,210.361,221.941,212.316,214.204,214.351,224.633,223.932,229.619,236.459,236.034
8,"Ham, excluding canned(6)",,245.956,233.667,225.654,234.341,248.338,237.241,239.886,239.281,251.305,250.513,257.536,265.378,264.649
7,Pork chops(4),0.053,204.053,210.221,208.335,203.256,205.226,208.450,212.226,214.056,224.766,228.531,228.555,225.262,236.503
